level,source_id,route_family,score_id,K,primary_success_family,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,vlsat_full_validation,proximity,I1_hardneg_structured_source_x_Ce,50,False,548,386,1766,1722,0.9750849377123443,26370,48.12043795620438,26370,5075,0.1924535456958665
source_family,vlsat_full_validation,proximity,I1_hardneg_structured_source_x_Ce,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,proximity,I2_route_aware_source_x_Ce,5,False,548,386,1766,1078,0.6104190260475651,2740,5.0,2740,21,0.007664233576642336
source_family,vlsat_full_validation,proximity,I2_route_aware_source_x_Ce,10,False,548,386,1766,1438,0.8142695356738392,5480,10.0,5480,141,0.02572992700729927
source_family,vlsat_full_validation,proximity,I2_route_aware_source_x_Ce,20,False,548,386,1766,1615,0.9144960362400906,10960,20.0,10960,798,0.07281021897810219
source_family,vlsat_full_validation,proximity,I2_route_aware_source_x_Ce,50,False,548,386,1766,1726,0.9773499433748585,26370,48.12043795620438,26370,5280,0.20022753128555176
source_family,vlsat_full_validation,proximity,I2_route_aware_source_x_Ce,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,proximity,I4_calibrated_route_aware_source_x_Ce,5,False,548,386,1766,1078,0.6104190260475651,2740,5.0,2740,21,0.007664233576642336
source_family,vlsat_full_validation,proximity,I4_calibrated_route_aware_source_x_Ce,10,False,548,386,1766,1438,0.8142695356738392,5480,10.0,5480,141,0.02572992700729927
source_family,vlsat_full_validation,proximity,I4_calibrated_route_aware_source_x_Ce,20,False,548,386,1766,1615,0.9144960362400906,10960,20.0,10960,798,0.07281021897810219
source_family,vlsat_full_validation,proximity,I4_calibrated_route_aware_source_x_Ce,50,False,548,386,1766,1726,0.9773499433748585,26370,48.12043795620438,26370,5280,0.20022753128555176
source_family,vlsat_full_validation,proximity,I4_calibrated_route_aware_source_x_Ce,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,proximity,S0_source_score,5,False,548,386,1766,1078,0.6104190260475651,2740,5.0,2740,21,0.007664233576642336
source_family,vlsat_full_validation,proximity,S0_source_score,10,False,548,386,1766,1438,0.8142695356738392,5480,10.0,5480,141,0.02572992700729927
source_family,vlsat_full_validation,proximity,S0_source_score,20,False,548,386,1766,1615,0.9144960362400906,10960,20.0,10960,798,0.07281021897810219
source_family,vlsat_full_validation,proximity,S0_source_score,50,False,548,386,1766,1726,0.9773499433748585,26370,48.12043795620438,26370,5280,0.20022753128555176
source_family,vlsat_full_validation,proximity,S0_source_score,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,proximity,S2_current_source_x_Ce,5,False,548,386,1766,1068,0.6047565118912798,2740,5.0,2740,22,0.008029197080291971
source_family,vlsat_full_validation,proximity,S2_current_source_x_Ce,10,False,548,386,1766,1432,0.8108720271800679,5480,10.0,5480,143,0.026094890510948904
source_family,vlsat_full_validation,proximity,S2_current_source_x_Ce,20,False,548,386,1766,1615,0.9144960362400906,10960,20.0,10960,792,0.07226277372262774
source_family,vlsat_full_validation,proximity,S2_current_source_x_Ce,50,False,548,386,1766,1722,0.9750849377123443,26370,48.12043795620438,26370,5160,0.1956769055745165
source_family,vlsat_full_validation,proximity,S2_current_source_x_Ce,100,False,548,386,1766,1766,1.0,36808,67.16788321167883,36808,7322,0.1989241469245816
source_family,vlsat_full_validation,relative_horizontal,I1_hardneg_structured_source_x_Ce,5,False,548,494,5474,1519,0.2774936061381074,2740,5.0,2740,744,0.27153284671532846
source_family,vlsat_full_validation,relative_horizontal,I1_hardneg_structured_source_x_Ce,10,False,548,494,5474,2470,0.4512239678480088,5480,10.0,5480,1916,0.34963503649635036
source_family,vlsat_full_validation,relative_horizontal,I1_hardneg_structured_source_x_Ce,20,False,548,494,5474,3660,0.6686152721958348,10960,20.0,10960,4621,0.42162408759124087
source_family,vlsat_full_validation,relative_horizontal,I1_hardneg_structured_source_x_Ce,50,False,548,494,5474,4956,0.9053708439897699,27400,50.0,27400,12956,0.47284671532846717
