level,route_family,predicate_label,view_id,rows,positive,negative,auroc,auprc,balanced_accuracy,macro_F1,Brier,NLL,tp,fp,tn,fn
predicate,support_contact,standing on,C6_sign_flip,1589,1357,232,0.22806711051254033,0.7633932843246017,0.43969646532665874,0.16733028098598748,0.3639652205259607,0.9373720971123314,82,42,190,1275
predicate,relative_horizontal,behind,C7_horizontal_frame_swap,4691,1024,3667,0.6114431713594218,0.27815708913797293,0.5912036672092309,0.520394102985293,0.2581516223299946,0.7231031709954011,671,1734,1933,353
predicate,size_relative,bigger than,C7_horizontal_frame_swap,170,85,85,0.9995847750865052,0.999591138686712,0.9882352941176471,0.9882352941176471,0.06463228063554077,0.27056602410340613,84,1,84,1
predicate,relative_horizontal,front,C7_horizontal_frame_swap,4691,1024,3667,0.6114434376704391,0.2781570848654041,0.5828184653667848,0.542324677230047,0.24183129354718766,0.6867903588271025,560,1398,2269,464
predicate,relative_vertical,higher than,C7_horizontal_frame_swap,390,195,195,0.9954766600920447,0.9953953353730034,0.958974358974359,0.9589214240572994,0.07464474565687079,0.26557760566233873,194,15,180,1
predicate,relative_horizontal,left,C7_horizontal_frame_swap,4691,1713,2978,0.6385313666243638,0.4897528260700138,0.5920875484237983,0.5429516795963024,0.25288962937886084,0.7021717790492383,1325,1755,1223,388
predicate,relative_vertical,lower than,C7_horizontal_frame_swap,390,195,195,0.9952136752136752,0.995310888804456,0.9564102564102563,0.9563456790123457,0.07382510266814554,0.26182280935424107,179,1,194,16
predicate,support_contact,lying on,C7_horizontal_frame_swap,1589,232,1357,0.522549106802531,0.14412514373682228,0.46651462404391025,0.42372826202294356,0.238223879775682,0.6680195100592328,92,629,728,140
predicate,relative_horizontal,right,C7_horizontal_frame_swap,4691,1713,2978,0.638532542791916,0.4897535087702415,0.5864167545851913,0.5873052187157408,0.22483684935786646,0.6418132378986285,655,624,2354,1058
predicate,size_relative,smaller than,C7_horizontal_frame_swap,170,85,85,0.9995847750865052,0.999591138686712,0.9882352941176471,0.9882352941176471,0.06461815368025528,0.2705454857891379,84,1,84,1
predicate,support_contact,standing on,C7_horizontal_frame_swap,1589,1357,232,0.5839643737453307,0.9075456554137779,0.5695944400681016,0.4738198235881179,0.2440291298145762,0.6813275841692412,727,92,140,630
predicate,relative_horizontal,behind,D1_Z_source_confidence_diagnostic,4691,1024,3667,0.5,0.22173432166995227,0.5,0.43874132567599905,0.24884799309435143,0.6908431538350329,0,0,3667,1024
predicate,size_relative,bigger than,D1_Z_source_confidence_diagnostic,170,85,85,0.5,0.5218529784915993,0.5,0.3333333333333333,0.2500042112996702,0.6931556032302253,0,0,85,85
