level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,10,0.14285714285714285,0.04898459383753501,0.25,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,10,0.14285714285714285,0.04898459383753501,0.25,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,10,-0.31528895391367956,-0.3284705819405411,-0.30252456413293943,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,10,-0.2640819312362838,-0.27615372490397516,-0.25164018253520676,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,10,-0.33997805413313825,-0.35444891980959353,-0.32608259282767377,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,10,-0.44934162399414773,-0.4632809645597369,-0.4362377418127965,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,10,-0.9773226042428675,-0.9875947956284562,-0.966675214228679,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,10,0.0014630577907827364,0.0003653535358922993,0.002926115581565471,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,20,0.13265306122448983,-0.05953571428571429,0.3618059159314997,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,20,0.2551020408163266,0.14391233766233763,0.3698756976154237,1000,548
